"SCHEMA_NAME","DIGEST","DIGEST_TEXT","COUNT_STAR","SUM_TIMER_WAIT","MIN_TIMER_WAIT","AVG_TIMER_WAIT","MAX_TIMER_WAIT","SUM_LOCK_TIME","SUM_ERRORS","SUM_WARNINGS","SUM_ROWS_AFFECTED","SUM_ROWS_SENT","SUM_ROWS_EXAMINED","SUM_CREATED_TMP_DISK_TABLES","SUM_CREATED_TMP_TABLES","SUM_SELECT_FULL_JOIN","SUM_SELECT_FULL_RANGE_JOIN","SUM_SELECT_RANGE","SUM_SELECT_RANGE_CHECK","SUM_SELECT_SCAN","SUM_SORT_MERGE_PASSES","SUM_SORT_RANGE","SUM_SORT_ROWS","SUM_SORT_SCAN","SUM_NO_INDEX_USED","SUM_NO_GOOD_INDEX_USED","FIRST_SEEN","LAST_SEEN"
diamante_edi,"0c01b9a6e939063c83809497ea5fb061",SELECT SQL_NO_CACHE * FROM `TP_TrabajodeGrado` ,9,15613273000,1201567000,1734808000,4555553000,0,0,9,0,396,396,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"0b716a6be5bd00d8c04c6f66668572f0",SHOW CREATE TABLE `TP_UnidadOva` ,9,577935000,59327000,64215000,73502000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"1cff7894da85aae7092c49bab2d8396f",SHOW FIELDS FROM `TP_UnidadOva` ,18,4125533000,207145000,229196000,267700000,0,0,0,0,126,126,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"71ef2303abc858e3ebad388b71d6edc0",SELECT SQL_NO_CACHE * FROM `TP_UnidadOva` ,9,1939218000,171998000,215468000,467098000,0,0,9,0,567,567,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"2d8432be2f9dbba1aa9ef5bfab16bed6",SHOW CREATE TABLE `TP_Usuarios` ,9,980046000,97795000,108894000,127595000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,db87bb26a4d807098dc084eb82b1c96f,SHOW FIELDS FROM `TP_Usuarios` ,18,7237004000,364824000,402055000,458986000,0,0,0,0,756,756,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,f54f6db6bd62a5b2ce44b67e03188d90,SELECT SQL_NO_CACHE * FROM `TP_Usuarios` ,9,57725513000,5725034000,6413945000,10017811000,0,0,9,0,22761,22761,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,ea6321401e668480ea6ad2d2585c6155,SHOW CREATE TABLE `TR_ActaConsejoItems` ,9,557065000,56169000,61896000,70880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"355179f5dee87af3ae531717d99faa27",SHOW FIELDS FROM `TR_ActaConsejoItems` ,18,4512813000,227520000,250711000,281189000,0,0,0,0,72,72,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"74f0905eb2c520cfac2765dbfa136e67",SELECT SQL_NO_CACHE * FROM `TR_ActaConsejoItems` ,9,940802000,87439000,104533000,208387000,0,0,9,0,54,54,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,c814f37b3375ec706e95c28cda47e851,SHOW CREATE TABLE `TR_ActividadComentario` ,9,626720000,62631000,69635000,87989000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"90923fda722a4909531444697ff47b12",SHOW FIELDS FROM `TR_ActividadComentario` ,18,4340140000,210366000,241118000,293965000,0,0,0,0,144,144,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"7ef36f1a88fcab8ecfbcaf7dba63e847",SELECT SQL_NO_CACHE * FROM `TR_ActividadComentario` ,9,1472409000,106977000,163601000,548943000,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"41002df2f63d71921f2b47742373f495",SHOW CREATE TABLE `TR_ActividadRequisito` ,9,772845000,79327000,85871000,92244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"959e019577404604a0d138cafee982b7",SHOW FIELDS FROM `TR_ActividadRequisito` ,18,3941172000,190174000,218954000,244464000,0,0,0,0,36,36,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
